🕘️更新时间,#genre#
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路8』
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8$订阅源
J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2$订阅源
Viutv,http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv$订阅源
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw$订阅源
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8$订阅源
靖天资讯,http://4gtv.cnlive.club/channel/3fae463b/index.m3u8?q=1782639885837$订阅源

🎬电影频道,#genre#
NewTV惊悚悬疑,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010077$订阅源
NewTV动作电影,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010003$订阅源
黑莓电影,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010073$订阅源
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8$订阅源
靖天映画,http://4gtv.cnlive.club/channel/n610faa83/index.m3u8?q=1782639885837$订阅源
靖天戏剧,http://4gtv.cnlive.club/channel/3f07b409/index.m3u8?q=1782639885837$订阅源
天映经典,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8$订阅源
天映经典,https://epg.pw/stream/cb817875cf26eb683af274dd8cdf7f559a71353d9565c32447c8d98894bc8095.ctv$订阅源
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe$订阅源

🏀体育频道,#genre#
快乐垂钓,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031206$订阅源

🪁动画频道,#genre#
动漫秀场,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031113$订阅源
爱动漫,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000280630$订阅源
优漫卡通,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010118$订阅源
黑莓动画,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010002$订阅源
河北少儿科教,https://event.pull.hebtv.com/jishi/shaoerkejiao.m3u8$订阅源
七龙珠,https://live.metshop.top/huya/11601966$订阅源
七龙珠,https://live.ottiptv.cc/huya/11601966$订阅源
海绵宝宝,https://live.metshop.top/douyu/3949681$订阅源
中华小当家,https://live.metshop.top/huya/11342413$订阅源
中华小当家,https://live.ottiptv.cc/huya/11342413$订阅源
猫和老鼠,https://live.metshop.top/huya/11352879$订阅源
猫和老鼠,https://live.ottiptv.cc/huya/11352879$订阅源
蜡笔小新,https://live.ottiptv.cc/bilibili/30837590$订阅源

🎵音乐频道,#genre#

🏛经典剧场,#genre#
笑傲江湖,https://live.metshop.top/huya/26355790$订阅源
笑傲江湖,https://live.ottiptv.cc/huya/26355790$订阅源
天龙八部,https://live.metshop.top/huya/23903123$订阅源
天龙八部,https://live.ottiptv.cc/huya/20985816$订阅源
鹿鼎记,https://live.ottiptv.cc/yy/28265277$订阅源
仙剑奇侠传,https://live.ottiptv.cc/yy/1382749903$订阅源
西游记,https://live.metshop.top/huya/26355861$订阅源
西游记,https://live.ottiptv.cc/huya/26355861$订阅源
三国演义,https://live.metshop.top/huya/11602081$订阅源
三国演义,https://live.ottiptv.cc/huya/11602081$订阅源
水浒传,https://live.ottiptv.cc/yy/1353873252$订阅源
新白娘子传奇,https://live.ottiptv.cc/yy/1354490667$订阅源
封神榜,https://live.metshop.top/huya/29465849$订阅源
封神榜,https://live.ottiptv.cc/huya/29465849$订阅源
射雕英雄传,https://live.metshop.top/huya/23824164$订阅源
射雕英雄传,https://live.ottiptv.cc/huya/23824164$订阅源
